Query,Claim,Source,Rating,URL,Review Date
CNN reports on elections,"Image shows CNN graphic of Texas election results for Harris, Trump",USA Today,Altered,https://www.usatoday.com/story/news/factcheck/2024/11/05/cnn-graphic-harris-trump-texas-results-fact-check/76046808007/,2024-11-05T17:37:54Z
Fox News claims about climate change,,N/A,No Fact-Check Found,N/A,
COVID-19 vaccine side effects,"“Hundreds of millions of people were used as lab rats and now the truth that WE ALL ALREADY KNEW can no longer be denied,” suggesting a new study proves that ""experimental"" COVID-19 vaccines are unsafe.",FactCheck.org,Distorts the Facts,https://www.factcheck.org/2024/02/study-largely-confirms-known-rare-covid-19-vaccine-side-effects/,Unknown
COVID-19 vaccine side effects,"Review article ""has found that COVID-19 mRNA vaccines could aid cancer development”",FactCheck.org,False,https://www.factcheck.org/2024/05/still-no-evidence-covid-19-vaccination-increases-cancer-risk-despite-posts/,Unknown
COVID-19 vaccine side effects,"The Covid-19 vaccines are poisons, which commonly produce serious health problems.",Full Fact,This is not true. The Covid vaccines are beneficial for most people and only rarely have serious side effects.,https://fullfact.org/health/covid-vaccines-not-poison/,2023-11-01T00:00:00Z
COVID-19 vaccine side effects,“Pfizer just released a few days ago the side effects of the jab” ; this lists contains more than forty medical conditions that are side effects of the Pfizer-BioNTech COVID-19 vaccine,Science Feedback,Inaccurate,https://science.feedback.org/review/pfizer-didnt-release-list-covid-19-vaccine-side-effects-2025-contrary-allegations-social-media/,2025-01-02T00:00:00Z
COVID-19 vaccine side effects,"""CDC Dep. Dir. Tom Shimabukuro Admits COVID Vaccines Are Causing ‘Debilitating Illnesses’""",FactCheck.org,False,https://www.factcheck.org/2023/02/scicheck-posts-falsely-claim-cdc-official-admitted-covid-19-vaccines-cause-debilitating-illnesses/,Unknown
COVID-19 vaccine side effects,CDC data show more than 18 million people “were injured so badly” by a Pfizer/BioNTech or Moderna COVID-19 vaccine “that they had to go to the hospital.”,FactCheck.org,False,https://www.factcheck.org/2022/10/scicheck-posts-distort-misleading-analysis-of-covid-19-vaccine-safety-data/,Unknown
COVID-19 vaccine side effects,Has Pfizer released a list of side effects for COVID vaccine?,Medical Dialogues,The claim by the user is FALSE.,https://medicaldialogues.in/fact-check/fact-check-has-pfizer-released-a-list-of-side-effects-for-covid-vaccine-143667,2025-02-22T00:00:00Z
COVID-19 vaccine side effects,“It’s Called ‘Post-Vaccine Syndrome’ And It’s Real!”,FactCheck.org,Missing Context,https://www.factcheck.org/2023/12/scicheck-yale-preprint-recorded-patient-experiences-did-not-demonstrate-vaccines-cause-new-syndrome/,Unknown
COVID-19 vaccine side effects,"Pfizer listed hMPV as a ""side effect"" of its COVID-19 vaccine.",Australian Associated Press,"False. The virus was listed as an ""adverse event"", not as a proven ""side effect"".",https://www.aap.com.au/factcheck/no-pfizer-did-not-list-hmpv-as-a-side-effect-of-its-covid-19-vaccine/,2025-02-07T00:52:18Z
COVID-19 vaccine side effects,“We now have the scientific evidence that shows the risk of myocarditis for young males is greater for the vaccine than it is for the disease.”,FactCheck.org,Vaccine Benefits Outweigh Risk,https://www.factcheck.org/2022/03/scicheck-benefits-of-covid-19-vaccination-outweigh-the-rare-risk-of-myocarditis-even-in-young-males/,Unknown
BBC news on AI and future jobs,,N/A,No Fact-Check Found,N/A,
